,driverId,driver_name,total_wins,final_position
328,813,Pastor Maldonado,6,11.0
329,814,Paul di Resta,6,11.0
330,822,Valtteri Bottas,6,11.0
331,20,Sebastian Vettel,5,11.0
332,817,Daniel Ricciardo,5,11.0
333,4,Fernando Alonso,4,11.0
334,16,Adrian Sutil,4,11.0
335,828,Marcus Ericsson,4,11.0
336,832,Carlos Sainz,4,11.0
337,839,Esteban Ocon,4,11.0
338,848,Alexander Albon,4,11.0
339,849,Nicholas Latifi,4,11.0
340,852,Yuki Tsunoda,4,11.0
341,3,Nico Rosberg,3,11.0
342,13,Felipe Massa,3,11.0
343,154,Romain Grosjean,3,11.0
344,825,Kevin Magnussen,3,11.0
345,826,Daniil Kvyat,3,11.0
346,8,Kimi Räikkönen,2,11.0
347,18,Jenson Button,2,11.0
348,30,Michael Schumacher,2,11.0
349,818,Jean-Éric Vergne,2,11.0
350,831,Felipe Nasr,2,11.0
351,835,Jolyon Palmer,2,11.0
352,841,Antonio Giovinazzi,2,11.0
353,844,Charles Leclerc,2,11.0
354,846,Lando Norris,2,11.0
355,847,George Russell,2,11.0
356,855,Guanyu Zhou,2,11.0
357,857,Oscar Piastri,2,11.0
358,17,Mark Webber,1,11.0
359,155,Kamui Kobayashi,1,11.0
360,821,Esteban Gutiérrez,1,11.0
361,830,Max Verstappen,1,11.0
362,838,Stoffel Vandoorne,1,11.0
363,854,Mick Schumacher,1,11.0
364,858,Logan Sargeant,1,11.0
365,859,Liam Lawson,1,11.0
366,807,Nico Hülkenberg,9,12.0
367,822,Valtteri Bottas,7,12.0
368,814,Paul di Resta,6,12.0
369,818,Jean-Éric Vergne,6,12.0
370,825,Kevin Magnussen,6,12.0
371,839,Esteban Ocon,6,12.0
372,20,Sebastian Vettel,5,12.0
373,817,Daniel Ricciardo,5,12.0
374,840,Lance Stroll,5,12.0
375,842,Pierre Gasly,5,12.0
376,848,Alexander Albon,5,12.0
377,154,Romain Grosjean,4,12.0
378,813,Pastor Maldonado,4,12.0
379,852,Yuki Tsunoda,4,12.0
380,8,Kimi Räikkönen,3,12.0
381,815,Sergio Pérez,3,12.0
382,821,Esteban Gutiérrez,3,12.0
383,832,Carlos Sainz,3,12.0
384,855,Guanyu Zhou,3,12.0
385,13,Felipe Massa,2,12.0
386,826,Daniil Kvyat,2,12.0
387,847,George Russell,2,12.0
388,849,Nicholas Latifi,2,12.0
389,2,Nick Heidfeld,1,12.0
390,3,Nico Rosberg,1,12.0
391,4,Fernando Alonso,1,12.0
392,10,Timo Glock,1,12.0
393,18,Jenson Button,1,12.0
394,22,Rubens Barrichello,1,12.0
395,30,Michael Schumacher,1,12.0
396,37,Pedro de la Rosa,1,12.0
397,155,Kamui Kobayashi,1,12.0
398,808,Vitaly Petrov,1,12.0
399,811,Bruno Senna,1,12.0
400,828,Marcus Ericsson,1,12.0
401,834,Alexander Rossi,1,12.0
402,838,Stoffel Vandoorne,1,12.0
403,846,Lando Norris,1,12.0
404,854,Mick Schumacher,1,12.0
405,857,Oscar Piastri,1,12.0
406,817,Daniel Ricciardo,6,13.0
407,807,Nico Hülkenberg,5,13.0
408,822,Valtteri Bottas,5,13.0
