,qualifying_position,diff_qual_final,num_pit_stops,driver_points,lap_time,stop_duration,constructor_points,starting_grid_position,final_position
186,1,-2.0,1,30.0,123650,24271,55.0,1,3.0
187,4,0.0,1,24.0,125725,24569,42.0,4,4.0
188,5,0.0,1,16.0,130720,27602,16.0,10,5.0
189,13,7.0,1,8.0,154869,31006,8.0,13,6.0
190,14,7.0,1,7.0,133340,23988,9.0,14,7.0
191,18,10.0,1,4.0,134402,24216,6.0,18,8.0
192,16,7.0,1,2.0,133710,23856,9.0,16,9.0
193,3,-7.0,1,1.0,135867,24831,1.0,3,10.0
194,6,-5.0,1,18.0,126725,25658,42.0,5,11.0
195,15,3.0,1,2.0,135995,25470,6.0,15,12.0
196,8,-5.0,1,0.0,129366,25600,1.0,7,13.0
197,2,-12.0,1,25.0,124743,24305,55.0,2,14.0
198,12,-3.0,1,0.0,132494,24034,35.0,12,15.0
199,1,0.0,2,25.0,105632,20645,26.0,1,1.0
200,6,4.0,3,43.0,107732,26618,88.0,5,2.0
201,2,-1.0,3,45.0,109228,20177,88.0,7,3.0
202,7,3.0,3,36.0,111270,20471,64.0,6,4.0
203,11,6.0,2,28.0,114438,21146,64.0,11,5.0
204,10,4.0,2,8.0,112513,25835,24.0,10,6.0
205,14,7.0,2,14.0,113302,21323,18.0,14,7.0
206,13,5.0,2,4.0,114494,21229,18.0,13,8.0
207,9,0.0,2,37.0,110905,20136,37.0,9,9.0
208,4,-6.0,3,9.0,110276,21795,31.0,3,10.0
209,8,-3.0,2,22.0,109726,22565,31.0,8,11.0
210,15,3.0,2,7.0,113925,21006,9.0,15,12.0
211,12,-1.0,2,0.0,111897,20051,37.0,12,13.0
212,5,-9.0,2,16.0,108600,21494,24.0,4,14.0
213,16,1.0,2,2.0,115795,21027,9.0,16,15.0
214,18,2.0,2,4.0,119116,23623,6.0,24,16.0
215,17,0.0,2,2.0,116795,22318,6.0,17,17.0
216,1,0.0,1,53.0,101605,22017,101.0,1,1.0
217,11,9.0,1,34.0,106703,22412,57.0,11,2.0
218,7,4.0,1,23.0,104850,23246,57.0,7,3.0
219,3,-1.0,1,48.0,104460,22236,101.0,3,4.0
220,5,0.0,1,35.0,107695,22228,37.0,5,5.0
221,10,4.0,1,15.0,109276,22069,17.0,10,6.0
222,9,2.0,1,43.0,105615,22094,45.0,9,7.0
223,2,-6.0,1,49.0,103872,28341,92.0,2,8.0
224,14,5.0,1,2.0,107191,23557,45.0,14,9.0
225,18,8.0,1,2.0,112232,21979,37.0,22,10.0
226,8,-3.0,1,22.0,108091,23408,31.0,8,11.0
227,13,1.0,1,2.0,112657,22413,17.0,13,12.0
228,12,-1.0,1,9.0,110115,22758,31.0,12,13.0
229,19,5.0,1,4.0,110641,22763,6.0,17,14.0
230,2,1.0,1,29.0,95034,20620,43.0,1,1.0
231,3,1.0,1,61.0,93726,19456,63.0,2,2.0
232,5,2.0,1,49.0,96119,19777,84.0,4,3.0
233,4,0.0,1,35.0,98392,20223,84.0,3,4.0
234,10,5.0,1,19.0,100542,22260,41.0,9,5.0
235,8,2.0,1,61.0,99378,19745,109.0,7,6.0
236,7,0.0,1,41.0,97175,20502,43.0,6,7.0
237,1,-7.0,1,53.0,105471,21963,98.0,24,8.0
238,11,2.0,1,45.0,100104,20333,98.0,10,9.0
